variant,date,actual_breakout_entry,close,rsi,momentum_7d,volume_rel_20,distance_sma200,sma50_slope_5d
current_rsi40_65_mom7_high5,2017-02-01,True,10.72,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.005819480188263615,0.02492691183258966
current_rsi40_65_mom7_high5,2019-03-27,True,139.08,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.09182712980348706,0.02225603868465975
current_rsi40_65_mom7_high5,2023-01-06,True,1268.84,59.159195113766316,0.05816028688182806,0.2651971681357934,-0.08657795325115425,0.0012527289960140298
current_rsi40_65_mom7_high5,2024-11-06,True,2724.27,61.016214229448266,0.024870587173082104,2.0410025321143843,-0.07900863009147197,0.0053974182089220335
current_rsi40_65_mom7_high5,2026-01-13,True,3323.38,64.75244995747667,0.008432480982160984,0.677278663037175,-0.08629739862487107,0.010497647033403723
current_rsi40_65_mom7_high5,2026-08-17,True,1911.94,56.60937915220985,0.021641089214722298,0.5306269438502533,-0.04797028438771889,0.016880965162540562
current_rsi40_65_mom7_high5,2026-08-18,False,1916.72,57.40701245697323,0.01914160534263476,0.24991201458854317,-0.04371885957117816,0.017285172280703254
rsi40_mom7_high5,2017-02-01,True,10.72,61.04685813146917,0.01611374407582944,0.2126104849194732,-0.005819480188263615,0.02492691183258966
rsi40_mom7_high5,2017-02-04,False,11.41,70.92461604837264,0.07844990548204156,0.7773568682480272,0.05861832216882212,0.029928967428967557
rsi40_mom7_high5,2017-02-14,False,13.14,78.46771971557573,0.14161598609904447,3.1616729464061866,0.22859426936508598,0.04596885392164807
rsi40_mom7_high5,2018-05-03,True,775.51,71.61990046759124,0.17323751891074135,0.46839802995781965,0.18793984705567435,0.003179446066632119
rsi40_mom7_high5,2019-03-27,True,139.08,56.30464199513452,0.0025228861817920833,0.4122320856994015,-0.09182712980348706,0.02225603868465975
rsi40_mom7_high5,2019-04-02,False,164.69,75.85282418230905,0.23566926770708285,3.798237744632896,0.0865015264393143,0.02242065490805123
rsi40_mom7_high5,2019-04-05,False,166.08,71.11598552909543,0.16278092837639146,0.318599293127398,0.10122183373857796,0.02765092543258829
rsi40_mom7_high5,2019-04-07,False,174.84,75.19087219285302,0.23824362606232308,0.2004316536202988,0.16229984331155722,0.03275819726975837
rsi40_mom7_high5,2019-04-08,False,180.74,77.58639591873866,0.2818439716312058,1.1546041010353911,0.20326841094205994,0.0337176053702577
rsi40_mom7_high5,2020-01-15,True,166.29,70.7352442673671,0.18271692745376944,1.050578830597526,-0.09712049361105102,0.004172469732023787
