year,base_variant,guardrail,buy_signals,total_return,annualized_return,max_drawdown,sharpe_ratio
2016,current_rsi40_65_mom7_high5,none,0,0.0,0.0,0.0,
2017,current_rsi40_65_mom7_high5,none,6,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,current_rsi40_65_mom7_high5,none,0,0.0,0.0,0.0,
2019,current_rsi40_65_mom7_high5,none,3,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,current_rsi40_65_mom7_high5,none,3,1.975666886330571,1.975666886330571,-0.1970182021386795,2.3011309765090955
2021,current_rsi40_65_mom7_high5,none,5,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,current_rsi40_65_mom7_high5,none,0,0.0,0.0,0.0,
2023,current_rsi40_65_mom7_high5,none,6,0.4124974383560538,0.41383823703243205,-0.23626180018602227,1.1409529466217476
2024,current_rsi40_65_mom7_high5,none,6,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,current_rsi40_65_mom7_high5,none,3,0.3294194875058152,0.3304598450747036,-0.27947544130460145,1.0721727486550303
2026,current_rsi40_65_mom7_high5,none,2,0.11396580048728566,0.18420222249422036,-0.12609272628635815,0.7470297216898306
2016,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,0,0.0,0.0,0.0,
2017,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,6,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,0,0.0,0.0,0.0,
2019,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,3,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,3,1.975666886330571,1.975666886330571,-0.1970182021386795,2.3011309765090955
2021,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,5,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,current_rsi40_65_mom7_high5,slope_gap__sp0p0__gm15p0,0,0.0,0.0,0.0,
