scenario,cost_rate,model,total_return,annualized_return,max_drawdown,sharpe,profit_factor,operations,turnover,entries,sma50_exits,trail8_exits
0.00%,0.0,SMA50 2 giorni + Trail8,21.73156455386707,0.4361398450379159,-0.4492995607613468,1.0840584987691064,5.888541336335036,28,56.0,28,24,4
0.00%,0.0,SMA50 1 giorno + Trail8,28.43360541222516,0.47978738927733366,-0.4097252122986822,1.1792485567692381,7.116545346472429,29,58.0,29,25,4
0.10%,0.001,SMA50 2 giorni + Trail8,20.49361887372917,0.42685133166721423,-0.4498502612005856,1.0682927931507618,5.7858824111997915,28,56.0,28,24,4
0.10%,0.001,SMA50 1 giorno + Trail8,26.773804202630558,0.4698681657136363,-0.41031548708638355,1.1623793835190583,6.958083609784856,29,58.0,29,25,4
0.25%,0.0025,SMA50 2 giorni + Trail8,18.759874900652463,0.4130138610302063,-0.4506763118594437,1.044572672278762,5.637469164835131,28,56.0,28,24,4
0.25%,0.0025,SMA50 1 giorno + Trail8,24.455160927456742,0.45509546450688476,-0.41120089926793557,1.1369922971456268,6.731836625711536,29,58.0,29,25,4
0.50%,0.005,SMA50 2 giorni + Trail8,16.170636383182178,0.3902036458703577,-0.4677554367291731,1.0048632983174868,5.40394189035037,28,56.0,28,24,4
0.50%,0.005,SMA50 1 giorno + Trail8,21.006443861480122,0.43075509850920146,-0.43064444597863005,1.094476008941617,6.38247559340424,29,58.0,29,25,4
