variant,label,rsi_max,confirmation,lookback,diagnostic,fingerprint_pre,full_total_return,full_annualized_return,full_max_drawdown,full_num_operations,full_win_rate,full_sharpe_ratio,full_profit_factor,full_average_trade_return,full_median_trade_return,full_average_win,full_average_loss,full_best_trade,full_worst_trade,full_average_trade_days,full_median_trade_days,full_exposure_ratio,full_turnover,full_transaction_cost_rate,pre_total_return,pre_annualized_return,pre_max_drawdown,pre_num_operations,pre_win_rate,pre_sharpe_ratio,pre_profit_factor,pre_average_trade_return,pre_median_trade_return,pre_average_win,pre_average_loss,pre_best_trade,pre_worst_trade,pre_average_trade_days,pre_median_trade_days,pre_exposure_ratio,pre_turnover,pre_transaction_cost_rate,train_total_return,train_annualized_return,train_max_drawdown,train_sharpe_ratio,test_total_return,test_annualized_return,test_max_drawdown,test_sharpe_ratio,raw_breakout_days,breakout_entries,breakout_closed,breakout_losses,breakout_win_rate,breakout_average_return,breakout_worst_return,target_signal_date,event_source_entry_date,exposed_at_event_start,captures_main_candle,event_return_to_cutoff,delta_ann_vs_baseline,delta_dd_vs_baseline,delta_sharpe_vs_baseline,delta_ann_vs_current,delta_dd_vs_current,delta_sharpe_vs_current
baseline,Baseline ufficiale,,baseline,,False,c50b55db2ef88705,737.1882302699553,0.9742189457195232,-0.39871656242523357,30,0.5,1.6650353159844486,15.995160119888238,0.49757050830736893,-0.000678671223084959,1.0615051640235322,-0.06636414740879439,8.661256155583397,-0.12470060194955057,31.633333333333333,28.0,0.2677009873060649,60.0,0.0016,737.1882302699553,0.9764974955459096,-0.39871656242523357,30,0.5,1.6664568994451163,15.995160119888238,0.49757050830736893,-0.000678671223084959,1.0615051640235322,-0.06636414740879439,8.661256155583397,-0.12470060194955057,31.633333333333333,28.0,0.26815484600169537,60.0,0.0016,21.03889673706799,1.7448527268058966,-0.3008047360399174,2.040814901601136,32.494790554936046,0.6986424972680809,-0.3987165624252341,1.4619520859816122,0,0,0,0,,,,,,False,False,0.0,0.0,0.0,0.0,-0.22993654465210756,-0.033077759907872206,-0.1662650561577521
current_rsi40_65_mom7_high5,"Attuale: RSI 40-65, momentum7 e massimo5",65.0,legacy,5.0,False,360159654749d969,2712.0284360006976,1.2574326170813626,-0.36563880251736136,33,0.5757575757575758,1.8686937837057773,16.830435877357345,0.49091425878468226,0.15892037847249219,0.9065013935191119,-0.07309685264061495,8.661256155583397,-0.12470060194955057,32.696969696969695,30.0,0.3057827926657264,67.0,0.0016,2144.1030390759183,1.2064340401980171,-0.36563880251736136,33,0.5757575757575758,1.8327219556028684,16.830435877357345,0.49091425878468226,0.15892037847249219,0.9065013935191119,-0.07309685264061495,8.661256155583397,-0.12470060194955057,32.696969696969695,30.0,0.3048883865498728,66.0,0.0016,39.40324754349347,2.3454621306287784,-0.3008047360399173,2.2888463311254426,52.092342064007255,0.8209079238014594,-0.36563880251736136,1.5798529189778237,7,6,5,1,0.8,0.2346221010874956,-0.11923682593022777,2026-08-17,2026-08-17,False,True,0.2647543668435781,0.22993654465210756,0.033077759907872206,0.1662650561577521,0.0,0.0,0.0
rsi40_mom7_high5,"RSI >=40, momentum7 e massimo5",,legacy,5.0,False,832df6130c2b626c,3319.9314971484437,1.3049312539265276,-0.36563880251736114,38,0.5263157894736842,1.8699143883468536,13.005216829651427,0.4359418566562543,0.09152703112442606,0.897283660730853,-0.07666014787107743,8.661256155583397,-0.12705766342385238,31.394736842105264,28.0,0.3379407616361072,77.0,0.0016,2624.752149357211,1.2529391719038672,-0.36563880251736114,38,0.5263157894736842,1.8346151865448863,13.005216829651427,0.4359418566562543,0.09152703112442606,0.897283660730853,-0.07666014787107743,8.661256155583397,-0.12705766342385238,31.394736842105264,28.0,0.33710087595365923,76.0,0.0016,34.21327378737626,2.198617340563274,-0.3008047360399173,2.206568389247437,73.5671125386396,0.9166658875252898,-0.36563880251736147,1.6348242368474697,58,12,11,5,0.5454545454545454,0.14659014086954264,-0.12846774921277626,2026-08-17,2026-08-17,False,True,0.2647543668435781,0.2764416763579576,0.03307775990787243,0.16815828709977,0.04650513170585002,2.220446049250313e-16,0.0018932309420178761
rsi40_65_mean7,"RSI 40-65, Close sopra media7 precedente",65.0,mean,7.0,False,dfc0247cfb6a0d15,2233.355674950715,1.212750497148361,-0.3917193423644708,39,0.5128205128205128,1.795670213062855,11.011651173663655,0.41483012632205274,0.024133683776359938,0.8897164821156738,-0.08505024819754847,8.661256155583397,-0.2072509995839218,29.23076923076923,28.0,0.32863187588152326,79.0,0.0016,1727.9318749361616,1.1578805268421903,-0.3917193423644708,39,0.5128205128205128,1.7553779828307408,11.011651173663655,0.41483012632205274,0.024133683776359938,0.8897164821156738,-0.08505024819754847,8.661256155583397,-0.2072509995839218,29.23076923076923,28.0,0.3274936422718282,79.0,0.0016,27.725131435547073,1.992866420664153,-0.365642966372666,2.0834351603367156,59.18882381149441,0.8557052947221857,-0.3917193423644708,1.5809928995339182,19,13,12,6,0.5,0.10201984069558974,-0.20848199527858025,,2026-07-28,True,True,0.29233297583412043,0.18138303129628075,0.006997220060762754,0.08892108338562443,-0.048553513355826805,-0.026080539847109452,-0.07734397277212768
rsi40_mean7,Proposta: RSI >=40 e Close sopra media7 precedente,,mean,7.0,False,378a4c85b7537dac,2474.7053120355044,1.236249975499987,-0.3866395925671241,40,0.5,1.800393510107165,10.952560099369887,0.4076795506522809,-0.004779083738712719,0.897283660730853,-0.0819245594262911,8.661256155583397,-0.2072509995839218,30.15,26.0,0.34724964739069114,81.0,0.0016,1914.6868688873246,1.1808363543314786,-0.3866395925671241,40,0.5,1.7604832026616248,10.952560099369887,0.4076795506522809,-0.004779083738712719,0.897283660730853,-0.0819245594262911,8.661256155583397,-0.2072509995839218,30.15,26.0,0.3461429782424414,81.0,0.0016,26.870623136166095,1.9635038102954185,-0.38451366679823396,2.0644341146810525,67.73498520388088,0.8932569280526133,-0.38663959256712443,1.6005944910455976,88,14,13,7,0.46153846153846156,0.10392273271971736,-0.20848199527858025,,2026-07-28,True,True,0.29233297583412043,0.204338858785569,0.012076969858109465,0.09402630321650851,-0.025597685866538544,-0.02100079004976274,-0.0722387529412436
rsi40_65_high7,"RSI 40-65, Close sopra massimo7 precedente",65.0,high,7.0,False,360159654749d969,2712.0284360006976,1.2574326170813626,-0.36563880251736136,33,0.5757575757575758,1.8686937837057773,16.830435877357345,0.49091425878468226,0.15892037847249219,0.9065013935191119,-0.07309685264061495,8.661256155583397,-0.12470060194955057,32.696969696969695,30.0,0.3057827926657264,67.0,0.0016,2144.1030390759183,1.2064340401980171,-0.36563880251736136,33,0.5757575757575758,1.8327219556028684,16.830435877357345,0.49091425878468226,0.15892037847249219,0.9065013935191119,-0.07309685264061495,8.661256155583397,-0.12470060194955057,32.696969696969695,30.0,0.3048883865498728,66.0,0.0016,39.40324754349347,2.3454621306287784,-0.3008047360399173,2.2888463311254426,52.092342064007255,0.8209079238014594,-0.36563880251736136,1.5798529189778237,7,6,5,1,0.8,0.2346221010874956,-0.11923682593022777,2026-08-17,2026-08-17,False,True,0.2647543668435781,0.22993654465210756,0.033077759907872206,0.1662650561577521,0.0,0.0,0.0
rsi40_high7,RSI >=40 e Close sopra massimo7 precedente,,high,7.0,False,832df6130c2b626c,3319.9314971484437,1.3049312539265276,-0.36563880251736114,38,0.5263157894736842,1.8699143883468536,13.005216829651427,0.4359418566562543,0.09152703112442606,0.897283660730853,-0.07666014787107743,8.661256155583397,-0.12705766342385238,31.394736842105264,28.0,0.3379407616361072,77.0,0.0016,2624.752149357211,1.2529391719038672,-0.36563880251736114,38,0.5263157894736842,1.8346151865448863,13.005216829651427,0.4359418566562543,0.09152703112442606,0.897283660730853,-0.07666014787107743,8.661256155583397,-0.12705766342385238,31.394736842105264,28.0,0.33710087595365923,76.0,0.0016,34.21327378737626,2.198617340563274,-0.3008047360399173,2.206568389247437,73.5671125386396,0.9166658875252898,-0.36563880251736147,1.6348242368474697,58,12,11,5,0.5454545454545454,0.14659014086954264,-0.12846774921277626,2026-08-17,2026-08-17,False,True,0.2647543668435781,0.2764416763579576,0.03307775990787243,0.16815828709977,0.04650513170585002,2.220446049250313e-16,0.0018932309420178761
rsi40_65_mean7_mom7,"Diagnostica: RSI 40-65, media7 e momentum7",65.0,mean_momentum,7.0,True,88120e3baa6ec0ec,3035.891267013996,1.283803677488299,-0.36563880251736114,37,0.5405405405405406,1.8684167307547304,13.413292199379633,0.44452044842653904,0.08395723122587118,0.8886113973647106,-0.07793949150072187,8.661256155583397,-0.12470060194955057,30.324324324324323,28.0,0.31791255289139636,75.0,0.0016,2400.170809627726,1.2322533076798399,-0.36563880251736114,37,0.5405405405405406,1.8328305401865639,13.413292199379633,0.44452044842653904,0.08395723122587118,0.8886113973647106,-0.07793949150072187,8.661256155583397,-0.12470060194955057,30.324324324324323,28.0,0.31703871150042384,74.0,0.0016,35.29290643687529,2.230309472816776,-0.3008047360399173,2.2261140692313046,65.16088501493012,0.8823845122446436,-0.36563880251736103,1.6197138865237826,14,10,9,4,0.5555555555555556,0.15705443627340054,-0.11926509818421438,2026-08-17,2026-08-17,False,True,0.2647543668435781,0.2557558121339303,0.03307775990787243,0.16637364074144756,0.025819267481822727,2.220446049250313e-16,0.00010858458369544799
rsi40_mean7_mom7,"Diagnostica: RSI >=40, media7 e momentum7",,mean_momentum,7.0,True,b85409c970904598,3140.0071340602008,1.2917462152849564,-0.36563880251736114,39,0.5128205128205128,1.8544952269049373,12.53854758500325,0.42344700065833735,0.024133683776359938,0.897283660730853,-0.07532843099694211,8.661256155583397,-0.12705766342385238,30.692307692307693,28.0,0.3390691114245416,79.0,0.0016,2482.491827665437,1.2400297536924842,-0.36563880251736114,39,0.5128205128205128,1.819144903627472,12.53854758500325,0.42344700065833735,0.024133683776359938,0.897283660730853,-0.07532843099694211,8.661256155583397,-0.12705766342385238,30.692307692307693,28.0,0.338231138739757,78.0,0.0016,34.21327378737626,2.198617340563274,-0.3008047360399173,2.206568389247437,69.52714958175065,0.9006242380227598,-0.3656388025173616,1.610027817178665,82,13,12,6,0.5,0.12995646005290884,-0.12846774921277626,2026-08-17,2026-08-17,False,True,0.2647543668435781,0.26353225814657466,0.03307775990787243,0.15268800418235573,0.033595713494467105,2.220446049250313e-16,-0.013577051975396381
rsi40_mean5,Sensibilita': RSI >=40 e media5,,mean,5.0,True,378a4c85b7537dac,2474.7053120355044,1.236249975499987,-0.3866395925671241,40,0.5,1.800393510107165,10.952560099369887,0.4076795506522809,-0.004779083738712719,0.897283660730853,-0.0819245594262911,8.661256155583397,-0.2072509995839218,30.15,26.0,0.34724964739069114,81.0,0.0016,1914.6868688873246,1.1808363543314786,-0.3866395925671241,40,0.5,1.7604832026616248,10.952560099369887,0.4076795506522809,-0.004779083738712719,0.897283660730853,-0.0819245594262911,8.661256155583397,-0.2072509995839218,30.15,26.0,0.3461429782424414,81.0,0.0016,26.870623136166095,1.9635038102954185,-0.38451366679823396,2.0644341146810525,67.73498520388088,0.8932569280526133,-0.38663959256712443,1.6005944910455976,84,14,13,7,0.46153846153846156,0.10392273271971736,-0.20848199527858025,,2026-07-28,True,True,0.29233297583412043,0.204338858785569,0.012076969858109465,0.09402630321650851,-0.025597685866538544,-0.02100079004976274,-0.0722387529412436
