year,variant,breakout_entries,total_return,annualized_return,max_drawdown,sharpe_ratio
2016,baseline,0,0.0,0.0,0.0,
2017,baseline,0,14.219001099240089,14.333258662020723,-0.3008047360399174,3.4782507894846657
2018,baseline,0,0.0,0.0,0.0,
2019,baseline,0,0.44811716572965055,0.449590953510143,-0.19891861673535183,1.0724780410875274
2020,baseline,0,1.975666886330571,1.975666886330571,-0.1970182021386795,2.3011309765090955
2021,baseline,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,baseline,0,0.0,0.0,0.0,
2023,baseline,0,0.07003451686858075,0.07023352330240273,-0.23626180018602205,0.3746791835356588
2024,baseline,0,0.004470706933555224,0.004470706933555224,-0.38279842552424737,0.273195138024675
2025,baseline,0,0.3294194875058152,0.3304598450747036,-0.27947544130460145,1.0721727486550303
2026,baseline,0,0.0,0.0,0.0,
2016,current_rsi40_65_mom7_high5,0,0.0,0.0,0.0,
2017,current_rsi40_65_mom7_high5,1,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,current_rsi40_65_mom7_high5,0,0.0,0.0,0.0,
2019,current_rsi40_65_mom7_high5,1,0.7116433927974357,0.7141725383951218,-0.20697453458592874,1.3580271860064153
2020,current_rsi40_65_mom7_high5,0,1.975666886330571,1.975666886330571,-0.1970182021386795,2.3011309765090955
2021,current_rsi40_65_mom7_high5,0,6.707393298662055,6.75075626795744,-0.23392731853378423,3.0394547624526993
2022,current_rsi40_65_mom7_high5,0,0.0,0.0,0.0,
2023,current_rsi40_65_mom7_high5,1,0.4124974383560538,0.41383823703243205,-0.23626180018602227,1.1409529466217476
2024,current_rsi40_65_mom7_high5,1,0.36941897568324866,0.36941897568324866,-0.36563880251736103,1.0402504104365187
2025,current_rsi40_65_mom7_high5,0,0.3294194875058152,0.3304598450747036,-0.27947544130460145,1.0721727486550303
2026,current_rsi40_65_mom7_high5,2,0.11396580048728566,0.18420222249422036,-0.12609272628635815,0.7470297216898306
2016,rsi40_mom7_high5,0,0.0,0.0,0.0,
2017,rsi40_mom7_high5,1,22.60494464764656,22.810854027883387,-0.3008047360399173,3.8455404835157956
2018,rsi40_mom7_high5,1,-0.12845437116237424,-0.12878350198109212,-0.16629911330049252,-1.3608179180157487
