date,event,reason,mode,cooldown_days,entry_date,entry_close,exit_close,trade_return,peak_close,stop_level,momentum_7d,volume_rel,official_buy_still_true,days_since_trail,reset_seen_red,green_streak
2019-04-23,ENTRY,Buy,cooldown,0,2019-04-23,171.4477996826172,,,,,,,,,,
2019-06-27,EXIT,Trail8,cooldown,0,2019-04-23,171.4477996826172,294.26763916015625,0.7163687122547049,336.753173828125,309.812919921875,0.08308077523486168,0.6093775589474111,True,,,
2019-06-28,ENTRY,Buy,cooldown,0,2019-06-28,311.2261047363281,,,,,,,,,,
2019-07-12,EXIT,Official_Sell,cooldown,0,2019-06-28,311.2261047363281,276.2767028808594,-0.1122958560467735,,,,,,,,
2020-06-02,ENTRY,Buy,cooldown,0,2020-06-02,237.21905517578125,,,,,,,,,,
2020-07-17,EXIT,Official_Sell,cooldown,0,2020-06-02,237.21905517578125,232.7730865478516,-0.0187420383435688,,,,,,,,
2020-07-21,ENTRY,Buy,cooldown,0,2020-07-21,245.0167236328125,,,,,,,,,,
2020-09-03,EXIT,Trail8,cooldown,0,2020-07-21,245.0167236328125,385.67193603515625,0.5740637223324101,477.0519104003906,438.8877575683594,0.007943145479867297,0.5936218148708647,True,,,
2020-10-12,ENTRY,Buy,cooldown,0,2020-10-12,387.7312622070313,,,,,,,,,,
2020-10-17,EXIT,Official_Sell,cooldown,0,2020-10-12,387.7312622070313,368.8559265136719,-0.04868149033409852,,,,,,,,
2020-10-21,ENTRY,Buy,cooldown,0,2020-10-21,392.1899719238281,,,,,,,,,,
2020-11-26,EXIT,Trail8,cooldown,0,2020-10-21,392.1899719238281,518.8011474609375,0.3228312414925796,608.4540405273438,559.7777172851563,0.1000162672266629,0.8502485207726849,True,,,
2020-11-27,ENTRY,Buy,cooldown,0,2020-11-27,517.4937133789062,,,,,,,,,,
2021-01-11,EXIT,Trail8,cooldown,0,2020-11-27,517.4937133789062,1090.1453857421875,1.1065867228110435,1281.0772705078125,1178.5910888671876,0.04798189633412275,1.0269180558352744,True,,,
2021-01-22,ENTRY,Buy,cooldown,0,2021-01-22,1236.51220703125,,,,,,,,,,
2021-02-26,EXIT,Official_Sell,cooldown,0,2021-01-22,1236.51220703125,1446.03369140625,0.16944554464047012,,,,,,,,
2021-03-17,ENTRY,Buy,cooldown,0,2021-03-17,1823.4493408203125,,,,,,,,,,
2021-03-23,EXIT,Official_Sell,cooldown,0,2021-03-17,1823.4493408203125,1678.650146484375,-0.079409496658019,,,,,,,,
2021-03-31,ENTRY,Buy,cooldown,0,2021-03-31,1918.362060546875,,,,,,,,,,
2021-04-07,EXIT,Trail8,cooldown,0,2021-03-31,1918.362060546875,1971.0772705078125,0.02747928091629892,2143.2255859375,1971.7675390625002,0.02747928091629892,0.37798365813551826,True,,,
2021-04-17,ENTRY,Buy,cooldown,0,2021-04-17,2344.89501953125,,,,,,,,,,
2021-05-12,EXIT,Trail8,cooldown,0,2021-04-17,2344.89501953125,3785.8486328125,0.6145066628907336,4168.701171875,3835.205078125,0.07467545248147522,0.5886814624809085,True,,,
2021-07-26,ENTRY,Buy,cooldown,0,2021-07-26,2233.36669921875,,,,,,,,,,
2021-09-07,EXIT,Trail8,cooldown,0,2021-07-26,2233.36669921875,3426.394287109375,0.5341834765907254,3952.133544921875,3635.962861328125,-0.0021371433422524566,0.858029185425466,False,,,
2021-10-01,ENTRY,Buy,cooldown,0,2021-10-01,3307.51611328125,,,,,,,,,,
2021-11-23,EXIT,Trail8,cooldown,0,2021-10-01,3307.51611328125,4340.763671875,0.3123938094949166,4812.08740234375,4427.12041015625,0.029503714831393024,0.20769973524292995,True,,,
2021-11-25,ENTRY,Buy,cooldown,0,2021-11-25,4274.7431640625,,,,,,,,,,
2021-11-27,EXIT,Official_Sell,cooldown,0,2021-11-25,4274.7431640625,4096.912109375,-0.04160040682268695,,,,,,,,
2021-11-30,ENTRY,Buy,cooldown,0,2021-11-30,4631.47900390625,,,,,,,,,,
