label,mode,cooldown_days,total_return,annualized_return,max_drawdown,sharpe,profit_factor,operations,win_rate,exposure,turnover,trail_exits,blocked_entries
Baseline ufficiale,baseline,0,21.73156455386707,0.4361398450379159,-0.4492995607613468,1.0840584987691064,5.888541336335036,28,0.39285714285714285,0.25261821643922566,56.0,4,0
Trail8 priority,cooldown,0,25.746164425130264,0.4634608054925349,-0.4279174354783323,1.2067933525166907,4.708190138228206,34,0.4117647058823529,0.23833703586163124,68.0,12,0
cooldown 3d,cooldown,3,21.873020366423514,0.4371725560843951,-0.4279174354783324,1.1791017191811735,4.570778969491413,33,0.42424242424242425,0.22818152967311964,66.0,12,4
cooldown 7d,cooldown,7,21.873020366423514,0.4371725560843951,-0.4279174354783324,1.1791017191811735,4.570778969491413,33,0.42424242424242425,0.22818152967311964,66.0,12,4
cooldown 10d,cooldown,10,21.719597022079395,0.4360522145155121,-0.4279174354783324,1.182233668246,4.554104173543181,33,0.42424242424242425,0.22183433830529992,66.0,11,9
cooldown 14d,cooldown,14,21.47954868513879,0.43428581938065247,-0.4279174354783325,1.1999240425220479,4.916976693133643,31,0.45161290322580644,0.2167565852110441,62.0,11,16
cooldown 21d,cooldown,21,12.183803485867934,0.34828746289503365,-0.4279174354783324,1.065302787443373,4.235862639464971,29,0.41379310344827586,0.20628371945414153,58.0,10,21
cooldown 30d,cooldown,30,10.508423949186273,0.3272205781583193,-0.3635196691076069,1.0359492904503629,4.236423474551193,28,0.42857142857142855,0.19358933671850206,56.0,10,32
reset_green 0d,reset_green,0,20.92149341391669,0.43011402815086286,-0.4279174354783325,1.1642422241068773,4.418101769008197,34,0.4117647058823529,0.22881624880990162,68.0,12,3
reset_green 3d,reset_green,3,12.754805985732508,0.35492779738990654,-0.4034510737016833,1.1824971965201412,5.532916395058799,23,0.43478260869565216,0.1564582672167566,46.0,8,60
reset_green 7d,reset_green,7,0.7163687122547042,0.06459650608627299,-0.14577275909185416,0.537368857451535,inf,1,1.0,0.020628371945414153,2.0,1,145
reset_green 10d,reset_green,10,0.7163687122547042,0.06459650608627299,-0.14577275909185416,0.537368857451535,inf,1,1.0,0.020628371945414153,2.0,1,145
reset_green 14d,reset_green,14,0.7163687122547042,0.06459650608627299,-0.14577275909185416,0.537368857451535,inf,1,1.0,0.020628371945414153,2.0,1,145
reset_green 21d,reset_green,21,0.7163687122547042,0.06459650608627299,-0.14577275909185416,0.537368857451535,inf,1,1.0,0.020628371945414153,2.0,1,145
reset_green 30d,reset_green,30,0.7163687122547042,0.06459650608627299,-0.14577275909185416,0.537368857451535,inf,1,1.0,0.020628371945414153,2.0,1,145
