model,entry_date,entry_price,exit_date,exit_price,exit_reason,return,days
SMA50 1 giorno + Trail8,2023-06-02,1907.256591796875,2023-06-05,1811.828369140625,SMA50,-0.05003428645452712,3
SMA50 1 giorno + Trail8,2023-06-21,1891.0072021484373,2023-07-24,1850.0020751953125,SMA50,-0.021684278572042137,33
SMA50 1 giorno + Trail8,2023-08-01,1871.7921142578125,2023-08-02,1839.0897216796875,SMA50,-0.017471166978973995,1
SMA50 1 giorno + Trail8,2023-11-22,2064.42529296875,2024-01-22,2310.826416015625,SMA50,0.11935579547784814,61
SMA50 1 giorno + Trail8,2024-02-06,2372.201904296875,2024-03-15,3735.22021484375,Trail8,0.5745793846965468,38
SMA50 1 giorno + Trail8,2024-04-08,3695.292724609375,2024-04-11,3505.247802734375,SMA50,-0.051428922155304924,3
SMA50 1 giorno + Trail8,2024-06-20,3511.0869140625,2024-06-23,3418.61181640625,SMA50,-0.02633802577938804,3
SMA50 1 giorno + Trail8,2024-07-15,3489.552734375,2024-07-16,3443.513427734375,SMA50,-0.013193469233778732,1
SMA50 1 giorno + Trail8,2024-07-19,3505.73486328125,2024-07-24,3336.33935546875,SMA50,-0.04831954338211175,5
SMA50 1 giorno + Trail8,2024-12-09,3718.6904296875,2024-12-21,3337.222412109375,SMA50,-0.10258127821900509,12
SMA50 1 giorno + Trail8,2025-07-02,2571.33544921875,2025-07-04,2508.518310546875,SMA50,-0.024429771965754465,2
SMA50 1 giorno + Trail8,2025-07-07,2543.01318359375,2025-09-22,4202.87744140625,SMA50,0.6527155535492755,77
SMA50 1 giorno + Trail8,2025-10-02,4487.923828125,2025-10-09,4369.1435546875,SMA50,-0.026466642034591925,7
