scenario,fee_rate,variant,full_annualized_return,full_max_drawdown,full_sharpe,pre_annualized_return,pre_max_drawdown,pre_sharpe
maker_0_07pct,0.0007,baseline,0.9851399997609429,-0.39213461633062774,1.6764630638524036,0.9874497475287822,-0.39213461633062774,1.6778945530515172
maker_0_07pct,0.0007,current_rsi40_65_mom7_high5,1.2713719728840949,-0.36141470589576874,1.8807365594574383,1.2198758179378926,-0.36141470589576874,1.844684986388575
maker_0_07pct,0.0007,rsi40_mom7_high5,1.321333489693223,-0.36043450122849785,1.8834953199431819,1.268788328947494,-0.36043450122849785,1.8481276718180553
maker_0_07pct,0.0007,rsi40_65_mean7,1.2289325971964429,-0.3873645539597762,1.8097381163781345,1.1736882165326223,-0.3873645539597762,1.7695649426932736
maker_0_07pct,0.0007,rsi40_mean7,1.2529884747648228,-0.38222033778205844,1.8145545426212581,1.1971878649658363,-0.38222033778205844,1.7747627628640006
maker_0_07pct,0.0007,rsi40_65_high7,1.2713719728840949,-0.36141470589576874,1.8807365594574383,1.2198758179378926,-0.36141470589576874,1.844684986388575
maker_0_07pct,0.0007,rsi40_high7,1.321333489693223,-0.36043450122849785,1.8834953199431819,1.268788328947494,-0.36043450122849785,1.8481276718180553
taker_0_16pct,0.0016,baseline,0.9742189457195232,-0.39871656242523357,1.6650353159844486,0.9764974955459096,-0.39871656242523357,1.6664568994451163
taker_0_16pct,0.0016,current_rsi40_65_mom7_high5,1.2574326170813626,-0.36563880251736136,1.8686937837057773,1.2064340401980171,-0.36563880251736136,1.8327219556028684
taker_0_16pct,0.0016,rsi40_mom7_high5,1.3049312539265276,-0.36563880251736114,1.8699143883468536,1.2529391719038672,-0.36563880251736114,1.8346151865448863
taker_0_16pct,0.0016,rsi40_65_mean7,1.212750497148361,-0.3917193423644708,1.795670213062855,1.1578805268421903,-0.3917193423644708,1.7553779828307408
taker_0_16pct,0.0016,rsi40_mean7,1.236249975499987,-0.3866395925671241,1.800393510107165,1.1808363543314786,-0.3866395925671241,1.7604832026616248
taker_0_16pct,0.0016,rsi40_65_high7,1.2574326170813626,-0.36563880251736136,1.8686937837057773,1.2064340401980171,-0.36563880251736136,1.8327219556028684
taker_0_16pct,0.0016,rsi40_high7,1.3049312539265276,-0.36563880251736114,1.8699143883468536,1.2529391719038672,-0.36563880251736114,1.8346151865448863
stress_0_60pct,0.006,baseline,0.9215489936428849,-0.4299646722120246,1.6085959222984503,0.9236785352995278,-0.4299646722120246,1.6099686273690343
stress_0_60pct,0.006,current_rsi40_65_mom7_high5,1.1903323950473386,-0.39054414423097705,1.8091812753322143,1.1417133873504746,-0.39054414423097705,1.773608548453572
stress_0_60pct,0.006,rsi40_mom7_high5,1.2261915811297448,-0.39054414423097705,1.802849407451168,1.1768365515283974,-0.39054414423097705,1.7678939999167407
stress_0_60pct,0.006,rsi40_65_mean7,1.1351118789374173,-0.41262188271716793,1.726243212203675,1.0820410102351055,-0.41262188271716793,1.6853723384322186
stress_0_60pct,0.006,rsi40_mean7,1.155982501432232,-0.40784909761178667,1.7304892812917394,1.1024275499765852,-0.40784909761178667,1.6900025244263246
stress_0_60pct,0.006,rsi40_65_high7,1.1903323950473386,-0.39054414423097705,1.8091812753322143,1.1417133873504746,-0.39054414423097705,1.773608548453572
stress_0_60pct,0.006,rsi40_high7,1.2261915811297448,-0.39054414423097705,1.802849407451168,1.1768365515283974,-0.39054414423097705,1.7678939999167407
