extra_delay_days,variant,pre_total_return,pre_annualized_return,pre_max_drawdown,pre_sharpe_ratio,full_total_return,full_annualized_return,full_max_drawdown,full_sharpe_ratio,event_return
0,baseline,737.1882302699553,0.9764974955459096,-0.39871656242523357,1.6662197159957364,737.1882302699553,0.9742189457195232,-0.39871656242523357,1.6647987389262504,0.0
0,current_rsi40_65_mom7_high5,2144.1030390759183,1.2064340401980171,-0.36563880251736136,1.8324606952019549,2712.0284360006976,1.2574326170813626,-0.36563880251736136,1.8684277500211546,0.2647543668435781
0,rsi40_mom7_high5,2624.752149357211,1.2529391719038672,-0.36563880251736114,1.8343536513265866,3319.9314971484437,1.3049312539265276,-0.36563880251736114,1.8696481775949274,0.2647543668435781
0,rsi40_65_mean7,1727.9318749361616,1.1578805268421903,-0.3917193423644708,1.7551279366512753,2233.355674950715,1.212750497148361,-0.3917193423644708,1.795414760963974,0.29233297583412043
0,rsi40_mean7,1914.6868688873246,1.1808363543314786,-0.3866395925671241,1.760232417032115,2474.7053120355044,1.236249975499987,-0.3866395925671241,1.8001373742534503,0.29233297583412043
0,rsi40_65_high7,2144.1030390759183,1.2064340401980171,-0.36563880251736136,1.8324606952019549,2712.0284360006976,1.2574326170813626,-0.36563880251736136,1.8684277500211546,0.2647543668435781
0,rsi40_high7,2624.752149357211,1.2529391719038672,-0.36563880251736114,1.8343536513265866,3319.9314971484437,1.3049312539265276,-0.36563880251736114,1.8696481775949274,0.2647543668435781
1,baseline,347.99361001821177,0.8294955925714391,-0.4438075010155007,1.5216063538478042,347.99361001821177,0.8276256306117467,-0.4438075010155007,1.5203103306313406,0.0
1,current_rsi40_65_mom7_high5,979.9303891179537,1.0353272135235176,-0.40146033658504776,1.688298579304537,1236.8321283826826,1.0821702433958493,-0.40146033658504776,1.7255222579491771,0.2618959939611347
1,rsi40_mom7_high5,1332.3900145127575,1.1008167868132133,-0.39975561552061845,1.7157395159403717,1681.599517701428,1.149051830154888,-0.39975561552061845,1.752011229628533,0.2618959939611347
1,rsi40_65_mean7,992.2559781089492,1.037950853324622,-0.4153267767113896,1.6611064429604985,1282.6174539545684,1.089973603986345,-0.4153267767113896,1.702587946047967,0.29233297583412043
1,rsi40_mean7,947.9091101899983,1.0283703523964776,-0.41534040576583464,1.6371505119079153,1225.3065341679476,1.0801651364677958,-0.41534040576583464,1.678461978810785,0.29233297583412043
1,rsi40_65_high7,979.9303891179537,1.0353272135235176,-0.40146033658504776,1.688298579304537,1236.8321283826826,1.0821702433958493,-0.40146033658504776,1.7255222579491771,0.2618959939611347
1,rsi40_high7,1332.3900145127575,1.1008167868132133,-0.39975561552061845,1.7157395159403717,1681.599517701428,1.149051830154888,-0.39975561552061845,1.752011229628533,0.2618959939611347
2,baseline,366.95352034700755,0.8395078613454323,-0.4491298456510596,1.5269474684767148,366.95352034700755,0.8376106860159314,-0.4491298456510596,1.5256468383717934,0.0
2,current_rsi40_65_mom7_high5,1101.8855750839098,1.0600823072686727,-0.3983536984064532,1.7045459561037415,1183.4668332856925,1.0727413301260311,-0.3983536984064532,1.7157551635011652,0.07397073644342123
2,rsi40_mom7_high5,1696.676482257233,1.153823047306187,-0.3983536984064532,1.7569692943414355,1822.2548618924773,1.1668948472613705,-0.3983536984064532,1.7677703588960731,0.07397073644342123
2,rsi40_65_mean7,1187.7783237345484,1.0760830383618827,-0.3983536984064533,1.689610440254371,1535.2974287189663,1.1290123685646476,-0.3983536984064533,1.7306464077784922,0.29233297583412043
2,rsi40_mean7,1200.1121747590923,1.078294938693686,-0.3983536984064532,1.6770223099120627,1551.23687111701,1.1312768185964175,-0.3983536984064532,1.717807123907463,0.29233297583412043
2,rsi40_65_high7,1101.8855750839098,1.0600823072686727,-0.3983536984064532,1.7045459561037415,1183.4668332856925,1.0727413301260311,-0.3983536984064532,1.7157551635011652,0.07397073644342123
2,rsi40_high7,1696.676482257233,1.153823047306187,-0.3983536984064532,1.7569692943414355,1822.2548618924773,1.1668948472613705,-0.3983536984064532,1.7677703588960731,0.07397073644342123
