Data,Open,High,Low,Close,ETH-USD,SMA50,SMA200,RSI,ATR,Volume,VolumeAvg20,Azione,Livello_Rischio,Standard_Entry,Breakout_Raw,Breakout_Guard_Passed,Breakout_Entry,Entry_Path,Position_Open,Official_Sell,Trail8_Stop_Hit,Trail8_Confirmed
2016-12-08,8.35,8.95,8.2,8.2,8.2,10.005,11.88385,42.59537546724621,0.757521933734547,69191.58131147,59191.42602846799,VENDI,ALTO,False,False,True,False,,False,True,False,False
2016-12-09,8.21,8.65,7.97,8.47,8.47,9.933200000000001,11.858149999999998,45.68985100915598,0.751984652753508,60616.06116836,60947.6204639295,VENDI,ALTO,False,False,True,False,,False,True,False,False
2016-12-10,8.46,8.55,8.04,8.14,8.14,9.855,11.835,42.66276974481582,0.7347000346996861,44650.73726691,61920.818939581004,VENDI,ALTO,False,False,True,False,,False,True,False,False
2016-12-11,8.14,8.26,8.11,8.23,8.23,9.779000000000002,11.813100000000002,43.75719118569993,0.6929357465068515,22169.58367344,61579.865013062,VENDI,ALTO,False,False,True,False,,False,True,False,False
2016-12-12,8.23,8.62,8.18,8.5,8.5,9.7102,11.79325,47.02406564883841,0.6748689074706478,44454.92057029,61900.91765268149,VENDI,ALTO,False,False,True,False,,False,True,False,False
2016-12-13,8.53,8.57,8.35,8.41,8.41,9.64,11.7804,46.063589357507574,0.6423782712227445,37242.66222809,62691.689123024,VENDI,ALTO,False,False,True,False,,False,True,False,False
2016-12-14,8.4,8.48,8.19,8.24,8.24,9.578199999999999,11.761500000000002,44.22605376939749,0.6172083947068343,34073.30998726,61033.698926457495,VENDI,ALTO,False,False,True,False,,False,True,False,False
2016-12-15,8.24,8.32,7.64,7.83,7.83,9.505,11.738949999999999,40.074023159864545,0.621693509370632,74745.17121022,63671.3214849885,VENDI,ALTO,False,False,True,False,,False,True,False,False
2016-12-16,7.85,7.95,7.77,7.84,7.84,9.4322,11.71375,40.22143374774527,0.5901439729870155,33701.60810742,64462.635207205996,VENDI,ALTO,False,False,True,False,,False,True,False,False
2016-12-17,7.84,7.93,7.51,7.85,7.85,9.3666,11.6822,40.37937470504931,0.5779908320593715,37375.06272,63234.41298774401,VENDI,ALTO,False,False,True,False,,False,True,False,False
2016-12-18,7.84,7.97,7.69,7.92,7.92,9.3156,11.652149999999999,41.54367104729241,0.5567057726265592,21241.08083959,61961.03846647199,VENDI,ALTO,False,False,True,False,,False,True,False,False
2016-12-19,7.92,7.95,7.57,7.64,7.64,9.244599999999998,11.6202,38.32009268446377,0.5440839317246621,41333.50672096,59793.505429497,VENDI,ALTO,False,False,True,False,,False,True,False,False
2016-12-20,7.65,7.77,7.55,7.64,7.64,9.178,11.5885,38.32009268446377,0.5209350794586147,28560.53439842,58349.3482536135,VENDI,ALTO,False,False,True,False,,False,True,False,False
